alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_1.dat,6887.36,3752.00,18675.00,2385.92,0.052,0.120,0.074,0.077,100,100,100.0
0.1,s100_p1000_instance_1.dat,6127.19,3231.00,16506.00,2311.08,0.057,0.115,0.073,0.075,100,100,100.0
0.2,s100_p1000_instance_1.dat,6740.35,3434.00,20482.00,2650.91,0.055,0.114,0.076,0.078,100,100,100.0
0.3,s100_p1000_instance_1.dat,6794.65,3480.00,17045.00,2018.22,0.058,0.115,0.076,0.078,100,100,100.0
0.4,s100_p1000_instance_1.dat,7811.74,3762.00,23179.00,2602.89,0.058,0.120,0.080,0.081,100,100,100.0
0.5,s100_p1000_instance_1.dat,7137.79,3906.00,15414.00,2009.64,0.062,0.113,0.077,0.080,100,100,100.0
0.6,s100_p1000_instance_1.dat,7601.92,3808.00,24539.00,2880.70,0.062,0.133,0.079,0.081,100,100,100.0
0.7,s100_p1000_instance_1.dat,7777.58,4016.00,18118.00,2557.61,0.060,0.113,0.081,0.082,99,100,99.0
0.8,s100_p1000_instance_1.dat,7852.26,3898.00,20346.00,3083.94,0.061,0.115,0.080,0.082,100,100,100.0
0.9,s100_p1000_instance_1.dat,7915.52,3987.00,17491.00,2265.59,0.064,0.168,0.082,0.083,100,100,100.0
1.0,s100_p1000_instance_1.dat,8059.15,4130.00,16605.00,2369.37,0.065,0.133,0.082,0.085,100,100,100.0
