alpha,mean_objective,best_objective,worst_objective,min_time,max_time,median_time,mean_time,success_rate,num_instances,feasible_runs,total_runs
0.0,6526.14,3078.00,6976.66,0.051,0.130,0.072,0.074,99.9,10,999,1000
0.1,6152.35,2979.00,6719.77,0.052,0.208,0.072,0.074,99.8,10,998,1000
0.2,6251.53,3029.00,6829.16,0.052,0.180,0.073,0.075,99.9,10,999,1000
0.3,6436.37,3096.00,6903.82,0.055,0.154,0.075,0.076,99.9,10,999,1000
0.4,6805.30,3119.00,7811.74,0.052,0.146,0.075,0.078,99.9,10,999,1000
0.5,6962.08,3259.00,7617.31,0.055,0.154,0.077,0.079,99.8,10,998,1000
0.6,7229.61,3318.00,7661.57,0.054,0.133,0.078,0.080,99.7,10,997,1000
0.7,7382.79,3546.00,7896.17,0.057,0.151,0.078,0.081,99.7,10,997,1000
0.8,7560.55,3468.00,8176.48,0.058,0.151,0.080,0.082,100.0,10,1000,1000
0.9,7622.52,3360.00,8222.12,0.059,0.385,0.081,0.084,100.0,10,1000,1000
1.0,7599.37,3598.00,8119.22,0.056,0.188,0.080,0.081,100.0,10,1000,1000
