alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_8.dat,6976.66,4056.00,22232.00,2675.76,0.055,0.115,0.073,0.073,100,100,100.0
0.1,s100_p1000_instance_8.dat,5946.30,3513.00,12221.00,1710.36,0.056,0.101,0.072,0.073,100,100,100.0
0.2,s100_p1000_instance_8.dat,5680.44,3770.00,16961.00,1648.90,0.055,0.116,0.071,0.073,100,100,100.0
0.3,s100_p1000_instance_8.dat,6631.66,3865.00,23941.00,3362.94,0.057,0.154,0.073,0.076,100,100,100.0
0.4,s100_p1000_instance_8.dat,6686.90,3929.00,17298.00,2457.00,0.058,0.107,0.074,0.076,100,100,100.0
0.5,s100_p1000_instance_8.dat,7187.15,4259.00,14530.00,2005.49,0.061,0.117,0.078,0.079,100,100,100.0
0.6,s100_p1000_instance_8.dat,7384.74,4362.00,16922.00,2340.26,0.063,0.108,0.079,0.080,99,100,99.0
0.7,s100_p1000_instance_8.dat,7162.49,4327.00,14641.00,2008.90,0.064,0.121,0.079,0.080,100,100,100.0
0.8,s100_p1000_instance_8.dat,7118.94,4374.00,18176.00,2294.61,0.063,0.114,0.078,0.079,100,100,100.0
0.9,s100_p1000_instance_8.dat,7433.24,4489.00,19303.00,2588.05,0.064,0.116,0.078,0.081,100,100,100.0
1.0,s100_p1000_instance_8.dat,7148.44,4046.00,18637.00,2373.43,0.064,0.106,0.078,0.079,100,100,100.0
