alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_8.dat,7903.80,4303.00,18714.00,6075.39,0.157,0.241,0.168,0.179,5,5,100.0
0.1,s100_p1000_instance_8.dat,6946.00,4982.00,8800.00,1388.66,0.165,0.191,0.178,0.178,5,5,100.0
0.2,s100_p1000_instance_8.dat,4905.40,4135.00,6587.00,1004.92,0.156,0.175,0.163,0.163,5,5,100.0
0.3,s100_p1000_instance_8.dat,7830.60,5646.00,12238.00,2921.80,0.170,0.215,0.172,0.184,5,5,100.0
0.4,s100_p1000_instance_8.dat,8352.60,4332.00,16926.00,5103.13,0.157,0.240,0.176,0.188,5,5,100.0
0.5,s100_p1000_instance_8.dat,6507.60,4217.00,9542.00,1952.81,0.159,0.199,0.176,0.177,5,5,100.0
0.6,s100_p1000_instance_8.dat,7697.40,7173.00,9531.00,1026.32,0.181,0.199,0.183,0.186,5,5,100.0
0.7,s100_p1000_instance_8.dat,9422.80,5669.00,18008.00,5075.92,0.172,0.250,0.188,0.196,5,5,100.0
0.8,s100_p1000_instance_8.dat,6814.40,5475.00,8645.00,1201.16,0.175,0.198,0.182,0.183,5,5,100.0
0.9,s100_p1000_instance_8.dat,6329.60,4619.00,11847.00,3108.57,0.162,0.217,0.165,0.176,5,5,100.0
1.0,s100_p1000_instance_8.dat,7700.60,4977.00,9308.00,1771.82,0.166,0.197,0.193,0.187,5,5,100.0
