alpha,instance,mean_objective,best_objective,worst_objective,std_objective,mean_time,feasible_runs,total_runs,success_rate
0.0,tuning_instance_7.dat,2485.60,2003.00,3008.00,365.08,2.864,5,5,100.0
0.1,tuning_instance_7.dat,2646.40,2606.00,2808.00,90.34,2.994,5,5,100.0
0.2,tuning_instance_7.dat,3009.20,2204.00,3612.00,512.94,3.916,5,5,100.0
0.3,tuning_instance_7.dat,2649.80,2003.00,3224.00,544.05,2.938,5,5,100.0
0.4,tuning_instance_7.dat,3291.80,2606.00,3815.00,485.34,3.885,5,5,100.0
0.5,tuning_instance_7.dat,3129.60,2204.00,4218.00,720.59,4.337,5,5,100.0
0.6,tuning_instance_7.dat,2768.00,1601.00,3615.00,846.78,3.538,5,5,100.0
0.7,tuning_instance_7.dat,3170.00,2606.00,4016.00,558.85,3.859,5,5,100.0
0.8,tuning_instance_7.dat,3493.00,2406.00,4219.00,907.55,4.284,5,5,100.0
0.9,tuning_instance_7.dat,2727.00,2003.00,3411.00,504.88,3.372,5,5,100.0
1.0,tuning_instance_7.dat,3664.80,2003.00,7492.00,2279.77,7.566,5,5,100.0
