alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_4.dat,6480.05,4328.00,13991.00,1644.68,0.058,0.102,0.072,0.074,100,100,100.0
0.1,s100_p1000_instance_4.dat,6719.77,4225.00,20604.00,2915.95,0.056,0.108,0.073,0.075,100,100,100.0
0.2,s100_p1000_instance_4.dat,6233.64,4322.00,13154.00,1373.68,0.058,0.105,0.073,0.076,100,100,100.0
0.3,s100_p1000_instance_4.dat,6379.89,4346.00,13192.00,1653.43,0.062,0.112,0.075,0.076,100,100,100.0
0.4,s100_p1000_instance_4.dat,7212.95,4568.00,23533.00,3200.54,0.059,0.131,0.076,0.080,100,100,100.0
0.5,s100_p1000_instance_4.dat,6929.28,4769.00,16738.00,2036.35,0.060,0.154,0.075,0.078,99,100,99.0
0.6,s100_p1000_instance_4.dat,7492.37,4822.00,16873.00,2138.74,0.062,0.113,0.079,0.080,100,100,100.0
0.7,s100_p1000_instance_4.dat,7651.44,4599.00,17704.00,2411.52,0.061,0.141,0.078,0.082,99,100,99.0
0.8,s100_p1000_instance_4.dat,7698.54,4702.00,18811.00,2211.49,0.066,0.111,0.081,0.081,100,100,100.0
0.9,s100_p1000_instance_4.dat,7764.77,5079.00,21194.00,2563.84,0.062,0.385,0.081,0.089,100,100,100.0
1.0,s100_p1000_instance_4.dat,7765.47,4830.00,19734.00,2114.87,0.064,0.128,0.079,0.082,100,100,100.0
