alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_7.dat,7129.80,6060.00,9619.00,1476.55,0.167,0.188,0.169,0.173,5,5,100.0
0.1,s100_p1000_instance_7.dat,6140.80,4907.00,7295.00,927.10,0.161,0.178,0.168,0.169,5,5,100.0
0.2,s100_p1000_instance_7.dat,8323.00,5889.00,15921.00,4276.52,0.169,0.235,0.175,0.188,5,5,100.0
0.3,s100_p1000_instance_7.dat,5180.20,4752.00,5797.00,401.25,0.163,0.169,0.165,0.166,5,5,100.0
0.4,s100_p1000_instance_7.dat,9462.40,5954.00,16134.00,4279.19,0.174,0.236,0.182,0.195,5,5,100.0
0.5,s100_p1000_instance_7.dat,7682.80,6565.00,9749.00,1311.24,0.177,0.197,0.185,0.186,5,5,100.0
0.6,s100_p1000_instance_7.dat,9716.80,7225.00,16907.00,4083.71,0.181,0.259,0.197,0.213,5,5,100.0
0.7,s100_p1000_instance_7.dat,6704.20,5639.00,8025.00,1034.32,0.173,0.192,0.179,0.182,5,5,100.0
0.8,s100_p1000_instance_7.dat,6901.60,5397.00,8480.00,1298.49,0.171,0.205,0.185,0.185,5,5,100.0
0.9,s100_p1000_instance_7.dat,7905.60,5704.00,10554.00,2011.73,0.171,0.217,0.194,0.191,5,5,100.0
1.0,s100_p1000_instance_7.dat,7651.20,6033.00,9147.00,1390.95,0.176,0.201,0.181,0.188,5,5,100.0
