alpha,instance,mean_objective,best_objective,worst_objective,std_objective,min_time,max_time,median_time,mean_time,feasible_runs,total_runs,success_rate
0.0,s100_p1000_instance_5.dat,5907.40,3788.00,14405.00,1807.46,0.055,0.125,0.070,0.072,100,100,100.0
0.1,s100_p1000_instance_5.dat,6013.00,3544.00,14197.00,2286.24,0.055,0.116,0.070,0.073,100,100,100.0
0.2,s100_p1000_instance_5.dat,5745.12,3709.00,17787.00,2142.48,0.056,0.111,0.070,0.071,100,100,100.0
0.3,s100_p1000_instance_5.dat,6189.81,3636.00,13945.00,1943.78,0.057,0.121,0.071,0.073,100,100,100.0
0.4,s100_p1000_instance_5.dat,6284.49,3943.00,13268.00,1896.69,0.057,0.118,0.072,0.076,100,100,100.0
0.5,s100_p1000_instance_5.dat,6622.39,4018.00,16620.00,2031.85,0.056,0.132,0.076,0.078,100,100,100.0
0.6,s100_p1000_instance_5.dat,6615.95,3888.00,14213.00,1805.78,0.059,0.116,0.075,0.078,99,100,99.0
0.7,s100_p1000_instance_5.dat,6655.04,4148.00,12951.00,1925.22,0.061,0.123,0.076,0.078,99,100,99.0
0.8,s100_p1000_instance_5.dat,7230.19,4201.00,16925.00,2621.07,0.060,0.144,0.077,0.080,100,100,100.0
0.9,s100_p1000_instance_5.dat,7065.68,4022.00,20560.00,2499.30,0.064,0.201,0.078,0.085,100,100,100.0
1.0,s100_p1000_instance_5.dat,6869.36,4327.00,16222.00,2157.60,0.063,0.149,0.075,0.077,100,100,100.0
